Country,Region,Population,Area,Pop. Density,Infant mortality (per 1000 births),GDP ($ per capita),Birthrate,Deathrate
Syria,NEAR EAST,18881361,185180,102,29.53,3300,27.76,4.81
Marshall Islands,OCEANIA,60422,11854,5.1,29.45,1600,33.05,4.78
Honduras,LATIN AMER. & CARIB,7326496,112090,65.4,29.32,2600,28.24,5.28
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.6,29.21,6300,16,9.42
Nicaragua,LATIN AMER. & CARIB,5570129,129494,43,29.11,2300,24.51,4.45
Samoa,OCEANIA,176908,2944,60.1,27.71,5600,16.43,6.62
Romania,EASTERN EUROPE,22303552,237500,93.9,26.43,7000,10.7,11.77
Vietnam,ASIA,84402966,329560,256.1,25.95,2500,16.86,6.22
Belize,LATIN AMER. & CARIB,287730,22966,12.5,25.69,4900,28.84,5.72
Paraguay,LATIN AMER. & CARIB,6506464,406750,16,25.63,4700,29.1,4.49
Bahamas. The,LATIN AMER. & CARIB,303770,13940,21.8,25.21,16700,17.57,9.05
El Salvador,LATIN AMER. & CARIB,6822378,21040,324.3,25.1,4800,26.61,5.78
Tunisia,NORTHERN AFRICA,10175014,163610,62.2,24.77,6900,15.52,5.13
Libya,NORTHERN AFRICA,5900754,1759540,3.4,24.6,6400,26.49,3.48
Lebanon,NEAR EAST,3874050,10400,372.5,24.52,4800,18.52,6.21
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,207.9,24.31,9500,12.9,10.57
China,ASIA,1313973713,9596960,136.9,24.18,5000,13.25,6.97
Korea. North,ASIA,23113019,120540,191.8,24.04,1300,15.54,7.13
Ecuador,LATIN AMER. & CARIB,13547510,283560,47.8,23.66,3300,22.29,4.23
Suriname,LATIN AMER. & CARIB,439117,163270,2.7,23.57,4000,18.02,7.27
Philippines,ASIA,89468677,300000,298.2,23.51,4600,24.89,5.41
Armenia,C.W. OF IND. STATES,2976372,29800,99.9,23.28,3500,12.07,
Gaza Strip,NEAR EAST,1428757,360,3968.8,22.93,600,39.45,3.8
Venezuela,LATIN AMER. & CARIB,25730435,912050,28.2,22.2,4800,18.71,4.92
Albania,EASTERN EUROPE,3581655,28748,124.6,21.52,4500,15.11,5.22
Solomon Islands,OCEANIA,552438,28450,19.4,21.29,1700,30.01,3.92
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,88,21.05,6100,8.77,8.27
Anguilla,LATIN AMER. & CARIB,,102,132.1,21.03,8600,14.17,5.34
Colombia,LATIN AMER. & CARIB,43593035,1138910,38.3,20.97,6300,20.48,5.58
Mexico,LATIN AMER. & CARIB,107449525,1972550,54.5,20.91,9000,20.69,4.74
Bulgaria,EASTERN EUROPE,7385367,110910,66.6,20.55,7600,9.65,14.27
Thailand,ASIA,64631595,514000,125.7,20.48,7400,13.87,7.04
Panama,LATIN AMER. & CARIB,3191319,78200,40.8,20.47,6300,21.74,5.36
Ukraine,C.W. OF IND. STATES,46710816,603700,77.4,20.34,5400,8.82,14.39
Tuvalu,OCEANIA,11810,26,454.2,20.03,1100,22.18,7.11
West Bank,NEAR EAST,2460492,5860,419.9,19.62,800,31.67,3.92
Oman,NEAR EAST,3102229,212460,14.6,19.51,13100,36.24,3.81
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,,19.46,11000,16.93,5.37
Saint Helena,SUB-SAHARAN AFRICA,7502,413,18.2,19,2500,12.13,6.53
Qatar,NEAR EAST,885359,11437,77.4,18.61,21500,15.56,4.72
